an name em1 em2 em3 em4
1 H -2.6216109 3.2849205 -3.877918 -3.9035106
2 He -1.2486159 3.888755 -2.8241012 -6.7960076
3 Li -0.8533017 4.1771326 -6.852941 1.5902901
4 Be 0.599646 2.4389048 -4.4268913 -1.198727
5 B -0.14743437 2.7470572 -3.5479872 -1.494004
6 C -0.47585893 3.33061 -2.2697914 -2.7331524
7 N -0.8582659 3.8147144 -1.0930609 -3.9027505
8 O 0.87182945 4.163371 -0.32140967 -4.4309845
9 F 2.324298 4.0629864 -0.38511357 -4.692376
10 Ne 0.31588334 3.3731942 0.98531276 -5.9074154
11 Na -0.7537803 3.855019 -5.829067 1.7424053
12 Mg 1.5115923 2.9570515 -4.6296105 -0.73643976
13 Al 1.7911557 2.951958 -3.7291133 -0.93139654
14 Si 2.2219667 3.0199077 -2.4539366 -1.8597897
15 P -0.064182214 3.2730858 -0.8001155 -2.088256
16 S 0.67329746 3.386768 -0.832265 -2.2299304
17 Cl 2.291251 3.837374 -0.61708194 -3.1909966
18 Ar -0.7027526 3.8731263 0.4132058 -4.1235404
19 K -1.3696458 5.648902 -6.8704567 4.112282
20 Ca -0.059931133 3.8986108 -4.5495124 1.1340077
21 Sc -0.025738928 3.6512659 -3.6237996 0.76623297
22 Ti 0.1208078 2.6822288 -3.2589948 0.3447689
23 V 0.6256314 2.4807887 -2.5340412 0.052976675
24 Cr -0.605555 2.0224116 -2.305163 0.38353127
25 Mn 1.177847 1.2904373 -2.774587 -0.33898166
26 Fe 1.3763175 1.2754596 -2.1356926 -0.44831064
27 Co 1.3823367 1.1871016 -1.4800138 -0.5242079
28 Ni 0.1521393 0.9299399 -0.96440727 -0.4580039
29 Cu -0.4802861 0.78357285 -0.67796004 -0.42163995
30 Zn 0.5262272 0.23726118 -1.1676881 -0.4972894
31 Ga 0.73260456 1.0650982 -0.93573296 -0.49272987
32 Ge 1.0420926 0.73855287 -0.19015479 -0.79707825
33 As 0.89153093 0.67548865 0.46284142 -1.0791491
34 Se 1.9864937 0.5948819 0.45120287 -1.2424769
35 Br 3.3556614 1.3451836 1.2248359 -2.653002
36 Kr 1.0178922 0.6290665 2.8449593 -2.0785446
37 Rb -1.4597692 4.888056 -4.9993873 4.016383
38 Sr 0.5686844 3.661854 -2.8993914 1.8368586
39 Y 0.40759915 2.9732363 -2.1596437 1.2767407
40 Zr 0.4626487 2.5251136 -1.6736753 0.8724159
41 Nb -1.0084639 2.5812094 -1.3056169 0.8140039
42 Mo -0.5839194 1.718346 -0.6723419 0.32295457
43 Tc -0.1533223 1.7736746 -0.8016321 0.29220763
44 Ru -0.8204315 1.6881706 -0.5919531 0.3378859
45 Rh -1.9901117 1.5019733 -0.1977358 0.40887946
46 Pd -1.1933209 0.41601408 0.35161194 -0.20032324
47 Ag -1.3880023 1.2506709 0.19480307 0.24914037
48 Cd 0.52946323 0.62004554 0.54257745 0.030514218
49 In 1.4613682 1.7728164 0.13363914 0.5320875
50 Sn 1.7811506 1.0041054 0.71484613 0.030380286
51 Sb 1.9136852 0.6871589 1.5157522 -0.3909251
52 Te 2.505449 0.98823935 1.7583156 -0.7952772
53 I 3.2850213 1.5355517 2.7427373 -1.9183762
54 Xe 1.0218327 0.6275429 3.526676 -1.4555396
55 Cs -1.3114289 5.365109 -4.2123375 5.3763456
56 Ba 0.2918528 3.8621786 -2.7341294 3.0580754
57 Lu 0.8220026 3.1717696 -0.039482106 1.8062099
72 Hf 0.9353146 3.241495 0.72369987 1.4544264
73 Ta 0.73292786 3.1043422 1.3317024 1.3301083
74 W 0.5614324 2.589758 1.8637747 0.9691444
75 Re 0.8393286 2.545966 1.5534359 0.9936314
76 Os -0.1616208 2.5916655 2.5693872 0.9434007
77 Ir -0.7329656 2.5239222 3.0970674 0.94270366
78 Pt -1.1482161 2.4227555 3.3554094 0.97921294
79 Au -1.9149956 2.0361526 3.5794337 1.0489388
80 Hg -0.07489848 0.6785036 2.0945194 0.23159249
81 Tl 0.58594143 2.0500655 3.6514723 0.75551724
82 Pb -0.17740609 2.6338634 4.203644 0.336734
83 Bi 0.25265574 2.744738 4.812731 -0.12887014
58 Ce 10.0 10.0 10.0 10.0
59 Pr 20.0 20.0 20.0 20.0
60 Nd 30.0 30.0 30.0 30.0
61 Pm 40.0 40.0 40.0 40.0
62 Sm 50.0 50.0 50.0 50.0
63 Eu 60.0 60.0 60.0 60.0
64 Gd 70.0 70.0 70.0 70.0
65 Tb 80.0 80.0 80.0 80.0
66 Dy 90.0 90.0 90.0 90.0
67 Ho 100.0 100.0 100.0 100.0
68 Er 110.0 110.0 110.0 110.0
69 Tm 120.0 120.0 120.0 120.0
70 Yb 130.0 130.0 130.0 130.0
71 Lu 140.0 140.0 140.0 140.0
90 Th 150.0 150.0 150.0 150.0
91 Pa 160.0 160.0 160.0 160.0
92 U 170.0 170.0 170.0 170.0
93 Np 180.0 180.0 180.0 180.0
