smiles,T,P,Solubility
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.65,21.5,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.35,25.7,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,31.2,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.85,36.0,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.65,41.1,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.25,46.6,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,52.5,0.396
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",302.85,36.0,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.35,44.7,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,54.6,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.05,64.8,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.55,75.1,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.25,85.9,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.05,97.7,0.554
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",302.95,46.7,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.35,57.7,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,71.1,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.85,84.5,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.85,99.8,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.25,115.1,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",362.95,132.4,0.626
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",302.95,60.7,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.25,79.0,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.95,103.4,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.55,131.7,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.25,163.2,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",352.85,193.3,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",362.85,224.2,0.712
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",302.95,107.8,0.778
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",312.95,166.6,0.778
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.85,223.3,0.778
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.85,271.6,0.778
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.55,312.4,0.778
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.15,213.4,0.812
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.05,282.6,0.812
"[""C(C)O[N+]1=CN(C=C1)OCC"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",322.15,328.6,0.812
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,12.0,0.197
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,21.9,0.281
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,34.4,0.408
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,49.9,0.521
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,63.3,0.591
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,76.8,0.679
"[""C(CCC)OC(C=1CN(C=CC1)CCCC)=O"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.3,87.0,0.725
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",296.95,15.0,0.1389
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",304.95,16.0,0.1389
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",312.55,17.0,0.1389
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",322.95,18.5,0.1389
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",332.65,20.0,0.1389
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",342.25,21.5,0.1389
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",297.05,22.5,0.2861
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",304.15,25.0,0.2861
"[""C(CCC)[N+]1=CN(C=C1)CCCC"", 0.5, ""S(C)(=O)(=O)[O-]"", 0.5]",313.85,28.5,0.2861
