smiles,tc,dc
CCCC,4.145e+02,2.269e-01
CC(C)C,4.072e+02,2.291e-01
CCCCC,4.595e+02,2.320e-01
CCC(C)C,4.550e+02,2.328e-01
CC(C)(C)C,4.359e+02,2.366e-01
C1CCCCC1,5.292e+02,2.717e-01
CCCCCC,5.002e+02,2.330e-01
CCC(C)(C)C,4.847e+02,2.368e-01
CC(C(C)C)C,5.001e+02,2.351e-01
CCCC(C)C,4.942e+02,2.361e-01
CCC(CC)C,4.946e+02,2.362e-01
CC1CCCCC1,5.491e+02,2.671e-01
C1CCCCCC1,5.824e+02,2.713e-01
CCCCCCC,5.331e+02,2.350e-01
CCCCC(C)C,5.342e+02,2.325e-01
CCCC(CC)C,5.305e+02,2.362e-01
CCC[C@H](CC)C,5.332e+02,2.337e-01
CCCC(C)(C)C,5.171e+02,2.408e-01
CCC(C(C)C)C,5.321e+02,2.414e-01
CC(CC(C)C)C,5.261e+02,2.362e-01
CCC(CC)(C)C,5.222e+02,2.422e-01
CC(C(C)(C)C)C,5.313e+02,2.420e-01
CC1CC1,4.340e+02,2.521e-01
C1CCC1,4.913e+02,2.528e-01
CC1(C)CC1,4.548e+02,2.524e-01
CCC1CC1,4.768e+02,2.524e-01
CC1CCC1,4.890e+02,2.532e-01
C1CCCC1,5.145e+02,2.698e-01
CCC1(C)CC1,4.991e+02,2.521e-01
CC1CC1(C)C,4.796e+02,2.512e-01
CCCC1CC1,5.183e+02,2.503e-01
CC(C1CC1)C,5.087e+02,2.525e-01
CC1(C)CCC1,5.080e+02,2.581e-01
CC1CC(C1)C,4.904e+02,2.528e-01
CCC1CCC1,5.245e+02,2.521e-01
CC1CCCC1,5.339e+02,2.634e-01
C1CC2CC1CC2,5.869e+02,2.927e-01
C1CC1CC1CC1,5.753e+02,2.688e-01
CCC1CCCC1,5.654e+02,2.591e-01
CC1(C)CCCC1,5.491e+02,2.617e-01
CC1CCCC1C,5.608e+02,2.584e-01
CC1CCC(C1)C,5.506e+02,2.583e-01
CC1(C)CC1(C)C,5.068e+02,2.522e-01
CCC1(CC)CC1,5.365e+02,2.533e-01
C1CC2C(C1)CCC2,6.290e+02,2.857e-01
C1CC2CCC1CC2,6.076e+02,2.947e-01
CCCC1CCCC1,5.976e+02,2.584e-01
CC(C1CCCC1)C,6.022e+02,2.594e-01
CCC1(C)CCCC1,5.782e+02,2.618e-01
CCC1CCC(C1)C,5.813e+02,2.528e-01
CC1CCCC1(C)C,5.686e+02,2.634e-01
CC1CCC(C1)(C)C,5.627e+02,2.600e-01
CCC1CCCCC1,5.894e+02,2.655e-01
CC1(C)CCCCC1,5.816e+02,2.667e-01
CC1CCCCC1C,5.947e+02,2.646e-01
C[C@H]1CCCC[C@@H]1C,5.870e+02,2.634e-01
CC1CCCC(C1)C,5.836e+02,2.582e-01
C[C@@H]1CCC[C@@H](C1)C,5.905e+02,2.600e-01
C[C@@H]1CCC[C@H](C1)C,5.907e+02,2.613e-01
CC1CCC(CC1)C,5.889e+02,2.637e-01
C1CCCCCCC1,6.302e+02,2.726e-01
CC1CCCCCC1,6.104e+02,2.664e-01
CCCCCCCC,5.650e+02,2.336e-01
CCCCCC(C)C,5.572e+02,2.372e-01
CCCCC(CC)C,5.584e+02,2.378e-01
CCCC(CCC)C,5.591e+02,2.377e-01
CCC(CC)(CC)C,5.616e+02,2.465e-01
CCCC(CC)CC,5.627e+02,2.368e-01
CCC(C(C)C)CC,5.636e+02,2.424e-01
CCCCC(C)(C)C,5.481e+02,2.390e-01
CCCC(C(C)C)C,5.636e+02,2.387e-01
CCC(CC(C)C)C,5.556e+02,2.378e-01
CC(CCC(C)C)C,5.572e+02,2.361e-01
CCCC(CC)(C)C,5.522e+02,2.445e-01
CCC(C(CC)C)C,5.669e+02,2.390e-01
CCC(C(C)(C)C)C,5.593e+02,2.427e-01
CC(CC(C)(C)C)C,5.554e+02,2.381e-01
CCC(C(C)C)(C)C,5.700e+02,2.430e-01
CC(C(C)C)C(C)C,5.703e+02,2.426e-01
CC(C(C)(C)C)(C)C,5.572e+02,2.535e-01
C1CC2CCCC(C1)C2,6.554e+02,2.968e-01
C1CCC2C(C1)CCC2,6.478e+02,2.807e-01
CCCCC1CCCC1,6.178e+02,2.548e-01
CC(CC1CCCC1)C,6.224e+02,2.549e-01
CCCC1(C)CCCC1,6.054e+02,2.622e-01
CC(C1CCCC1)(C)C,6.225e+02,2.611e-01
CCC1(CC)CCCC1,6.119e+02,2.623e-01
CCC1CCC(C1)CC,6.134e+02,2.512e-01
CCC1CCCC1(C)C,6.009e+02,2.612e-01
CCC1CCC(C1)(C)C,5.942e+02,2.558e-01
CC1(C)CCCC1(C)C,5.738e+02,2.554e-01
CC1(C)CCC(C1)(C)C,5.737e+02,2.597e-01
CC1CC(C(C1C)C)C,6.020e+02,2.558e-01
CC(C1CCCC1C)C,6.152e+02,2.562e-01
CCCC1CCCCC1,6.180e+02,2.598e-01
CC(C1CCCCC1)C,6.179e+02,2.669e-01
CCC1(C)CCCCC1,6.153e+02,2.660e-01
CC[C@H]1CCCC[C@H]1C,6.223e+02,2.637e-01
CC[C@H]1CCCC[C@@H]1C,6.215e+02,2.614e-01
CC[C@H]1CCC[C@H](C1)C,6.121e+02,2.591e-01
CC[C@H]1CCC[C@@H](C1)C,6.131e+02,2.639e-01
