pair,class
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""CN1C=NC2=C1C(=O)N(C(=O)N2C)C"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C(CC(=O)O)C(=O)O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C(C(C(=O)O)O)C(=O)O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C(CCC(=O)O)CC(=O)O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C1CNC2=NCCCN2C1"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C1CCC2=NCCCN2CC1"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C([C@@H](C(=O)O)N)C(=O)N"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""CN1C=NC2=C1C(=O)NC(=O)N2C"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C(CSCCC(=O)O)C(=O)O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""CN1C2=C(C(=O)N(C1=O)C)NC=N2"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C[C@]12CC[C@H](C1(C)C)C[C@H]2O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C1=CC=C(C=C1)/C=C/C=O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\\C)\\C)/C)/C)C"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C1=CC=C(C=C1)C=O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C[C@H](CCC(=O)[O-])[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C.[Na+]"", 0.5]",1
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C[C@@H]([C@H]1CC[C@@H]2[C@]1(C)[C@@H](O)C[C@H]3[C@H]2[C@H](O)C[C@H]4[C@]3(C)CC[C@@H](O)C4)CCC(O)=O"", 0.5]",1
