SMILES T dliq dgas st tc redT
CCCC 160 0.7177 0.0 30.79 414.5 0.38600723763570566
CCCC 222 0.6528 0.0003009 21.44 414.5 0.5355850422195416
CCCC 268 0.6008 0.003128 15.65 414.5 0.646562123039807
CCCC 299 0.563 0.008647 11.07 414.5 0.721351025331725
CCCC 315 0.5413 0.01425 9.677 414.5 0.7599517490952955
CCCC 330 0.5215 0.01889 7.763999999999999 414.5 0.7961399276236429
CCCC 346 0.4964 0.02828 5.902 414.5 0.8347406513872135
CCCC 361 0.4712 0.04079 4.3 414.5 0.8709288299155609
CC(C)C 138 0.7357 0.0001315 35.07 407.2 0.3388998035363458
CC(C)C 202 0.6686 8.503e-05 24.16 407.2 0.4960707269155206
CC(C)C 251 0.6149 0.002152 16.79 407.2 0.6164047151277013
CC(C)C 283 0.5773 0.005898 12.59 407.2 0.6949901768172888
CC(C)C 299 0.5573 0.01116 10.66 407.2 0.7342829076620825
CC(C)C 315 0.536 0.0158 9.08 407.2 0.7735756385068763
CC(C)C 331 0.5107 0.026430000000000002 6.694 407.2 0.81286836935167
CC(C)C 347 0.487 0.03609 5.209 407.2 0.8521611001964636
CCCCC 168 0.7484 1.8159999999999999e-06 31.93 459.5 0.36561479869423286
CCCCC 239 0.6787 6.727e-05 22.45 459.5 0.5201305767138193
CCCCC 293 0.6233 0.002512 15.86 459.5 0.6376496191512514
CCCCC 329 0.5832 0.00804 11.22 459.5 0.7159956474428727
CCCCC 346 0.5628 0.01154 9.656 459.5 0.7529923830250272
CCCCC 364 0.5394 0.01898 7.8 459.5 0.7921653971708379
CCCCC 382 0.5131 0.027089999999999996 6.11 459.5 0.8313384113166485
CCCCC 400 0.4822 0.03846 4.5360000000000005 459.5 0.8705114254624592
CCC(C)C 138 0.7767 0.002148 37.52 455.0 0.3032967032967033
CCC(C)C 216 0.698 1.056e-05 25.04 455.0 0.4747252747252747
CCC(C)C 274 0.6399 0.001322 17.72 455.0 0.6021978021978022
CCC(C)C 313 0.5973 0.004158 12.99 455.0 0.6879120879120879
CCC(C)C 333 0.5753 0.009949 10.81 455.0 0.7318681318681318
CCC(C)C 352 0.5502 0.01454 8.798 455.0 0.7736263736263737
CCC(C)C 372 0.5228 0.02411 7.115 455.0 0.8175824175824176
CCC(C)C 391 0.4949 0.03779 5.004 455.0 0.8593406593406593
CC(C)(C)C 281 0.6224 0.003676 15.14 435.9 0.6446432668043129
CC(C)(C)C 308 0.5905 0.008551999999999999 11.24 435.9 0.7065840789171829
CC(C)(C)C 328 0.565 0.01348 9.347999999999999 435.9 0.7524661619637532
CC(C)(C)C 342 0.5465 0.0194 7.825 435.9 0.7845836200963524
CC(C)(C)C 349 0.5358 0.02254 7.029 435.9 0.800642349162652
CC(C)(C)C 355 0.5272 0.02458 6.784 435.9 0.8144069740766231
CC(C)(C)C 362 0.5163 0.032010000000000004 6.236000000000001 435.9 0.8304657031429228
CC(C)(C)C 369 0.5053 0.0331 5.261 435.9 0.8465244322092224
C1CCCCC1 305 0.7654 0.0010199999999999999 22.29 529.2 0.5763416477702191
C1CCCCC1 356 0.709 0.0055060000000000005 16.16 529.2 0.672713529856387
C1CCCCC1 394 0.6627 0.01285 12.17 529.2 0.7445200302343159
C1CCCCC1 420 0.6275 0.02341 9.292 529.2 0.7936507936507936
C1CCCCC1 433 0.6106 0.029789999999999997 8.162 529.2 0.8182161753590325
C1CCCCC1 445 0.5919 0.03524 7.004 529.2 0.8408919123204837
CCCCCC 203 0.7444 1.015e-06 29.85 500.2 0.4058376649340264
CCCCCC 273 0.6792 0.0002456 20.97 500.2 0.5457816873250699
CCCCCC 326 0.6262 0.002236 14.42 500.2 0.6517393042782887
CCCCCC 362 0.588 0.007601999999999999 11.36 500.2 0.7237105157936825
CCCCCC 379 0.5668 0.01235 9.498 500.2 0.7576969212315074
CCCCCC 397 0.5453 0.01621 8.195 500.2 0.7936825269892044
CCCCCC 414 0.5224 0.02555 6.346 500.2 0.8276689324270292
CCCCCC 432 0.4949 0.03524 4.2 500.2 0.8636545381847262
CCC(C)(C)C 199 0.7439 0.0 27.89 484.7 0.4105632349907159
CCC(C)(C)C 266 0.6784 0.00025810000000000004 20.06 484.7 0.5487930678770374
CCC(C)(C)C 316 0.6279 0.003326 13.9 484.7 0.6519496595832474
CCC(C)(C)C 349 0.5917 0.0077599999999999995 10.19 484.7 0.720033010109346
CCC(C)(C)C 366 0.5723 0.013590000000000001 9.218 484.7 0.7551062512894574
CCC(C)(C)C 383 0.5507 0.01966 7.747999999999999 484.7 0.7901794924695689
CCC(C)(C)C 399 0.5276 0.02559 5.992000000000001 484.7 0.823189601815556
CCC(C)(C)C 416 0.5032 0.03681 4.2410000000000005 484.7 0.8582628429956675
CC(C(C)C)C 170 0.7746 2.333e-06 32.94 500.1 0.33993201359728054
CC(C(C)C)C 248 0.6999 1.595e-05 23.8 500.1 0.4959008198360328
CC(C(C)C)C 307 0.6443 0.001143 16.75 500.1 0.613877224555089
CC(C(C)C)C 347 0.6034 0.006069 12.38 500.1 0.693861227754449
CC(C(C)C)C 366 0.5842 0.008964 10.19 500.1 0.7318536292741451
CC(C(C)C)C 386 0.5596 0.0154 8.411 500.1 0.7718456308738252
CC(C(C)C)C 405 0.5355 0.02198 6.999 500.1 0.8098380323935213
CC(C(C)C)C 425 0.5084 0.03207 5.071000000000001 500.1 0.8498300339932013
CCCC(C)C 144 0.7965 0.00011279999999999999 39.44 494.2 0.29138000809388914
CCCC(C)C 230 0.7156 2.051e-05 25.43 494.2 0.4653986240388507
CCCC(C)C 294 0.6555 0.00048660000000000006 17.9 494.2 0.594900849858357
CCCC(C)C 337 0.6119 0.004155 13.25 494.2 0.6819101578308377
CCCC(C)C 359 0.5878 0.006737999999999999 11.63 494.2 0.726426547956293
CCCC(C)C 380 0.5632 0.01617 9.264 494.2 0.7689194658033185
CCCC(C)C 402 0.5353 0.023219999999999998 6.83 494.2 0.8134358559287738
CCCC(C)C 423 0.5056 0.0331 5.607 494.2 0.8559287737757993
CCC(CC)C 135 0.8089 0.001691 41.34 494.6 0.2729478366356652
CCC(CC)C 225 0.7237 2.536e-06 26.56 494.6 0.45491306105944196
CCC(CC)C 293 0.6586 0.00048180000000000006 18.64 494.6 0.59239789729074
CCC(CC)C 338 0.613 0.0041789999999999996 14.02 494.6 0.6833805095026284
CCC(CC)C 360 0.5893 0.008213 11.23 494.6 0.7278608976951071
CCC(CC)C 383 0.5635 0.01299 8.871 494.6 0.7743631217145167
CCC(CC)C 405 0.5347 0.02248 6.641 494.6 0.8188435099069955
CCC(CC)C 428 0.499 0.03785 4.545 494.6 0.8653457339264051
CC1CCCCC1 171 0.9043 0.0 37.59 549.1 0.31141868512110726
CC1CCCCC1 268 0.8118 6.934999999999999e-07 28.4 549.1 0.4880713895465307
CC1CCCCC1 341 0.7378 0.0015300000000000001 19.31 549.1 0.6210162083409215
CC1CCCCC1 389 0.682 0.0063560000000000005 14.16 549.1 0.7084319796029867
CC1CCCCC1 413 0.6534 0.01025 11.07 549.1 0.7521398652340193
CC1CCCCC1 438 0.6243 0.020069999999999998 8.616 549.1 0.7976689127663449
CC1CCCCC1 462 0.5913 0.03126 7.2989999999999995 549.1 0.8413767983973774
C1CCCCCC1 290 0.8111 2.884e-05 27.52 582.4 0.49793956043956045
C1CCCCCC1 359 0.7433 0.0022789999999999998 18.89 582.4 0.6164148351648352
C1CCCCCC1 410 0.6906 0.009059000000000001 13.86 582.4 0.7039835164835165
C1CCCCCC1 444 0.6521 0.015280000000000002 10.8 582.4 0.7623626373626374
C1CCCCCC1 462 0.631 0.02309 9.305 582.4 0.7932692307692308
C1CCCCCC1 479 0.6076 0.03048 7.562 582.4 0.8224587912087913
CCCCCCC 207 0.7644 3.2240000000000003e-07 31.03 533.1 0.38829487900956666
CCCCCCC 285 0.6939 6.622e-05 21.13 533.1 0.5346088913899831
CCCCCCC 343 0.6392 0.002579 15.72 533.1 0.6434064903395235
CCCCCCC 381 0.6004 0.00643 11.57 533.1 0.7146876758581879
CCCCCCC 401 0.5784 0.01004 9.976 533.1 0.7522040892890639
CCCCCCC 420 0.5553 0.015269999999999999 8.726 533.1 0.7878446820483962
CCCCCCC 440 0.5304 0.02368 6.372999999999999 533.1 0.8253610954792722
CCCCCCC 459 0.5044 0.033960000000000004 4.671 533.1 0.8610016882386043
CCCCC(C)C 180 0.7837 0.003703 34.4 534.2 0.33695245226506926
CCCCC(C)C 263 0.7111 1.708e-05 23.5 534.2 0.49232497192062896
CCCCC(C)C 325 0.6537 0.000908 17.16 534.2 0.6083863721452639
CCCCC(C)C 367 0.6128 0.004404 12.61 534.2 0.6870086110071134
CCCCC(C)C 388 0.5898 0.007403 10.72 534.2 0.7263197304380381
CCCCC(C)C 408 0.5678 0.01213 8.658999999999999 534.2 0.7637588918008236
CCCCC(C)C 429 0.5412 0.02079 7.103 534.2 0.8030700112317484
CCCCC(C)C 450 0.5157 0.02507 5.722 534.2 0.8423811306626731
CCCC(CC)C 179 0.7891 7.237e-06 33.99 530.5 0.3374175306314797
CCCC(CC)C 264 0.7117 1.155e-05 23.08 530.5 0.49764373232799247
CCCC(CC)C 328 0.6524 0.00126 16.65 530.5 0.6182846371347785
